Points,Wins,Last 10 Rank,Post Season Finish 
96,44,8.5,5
110,50,8.0,4
72,32,2.0,5
102,44,5.0,4
95,44,28.5,5
100,46,13.5,5
98,44,17.5,4
86,38,6.0,5
104,48,14.0,5
80,38,7.5,5
94,40,10.0,5
95,43,1.0,5
91,40,10.0,5
100,46,24.0,4
86,39,7.5,5
68,30,10.5,4
78,34,9.0,5
74,32,12.5,4
116,54,20.0,4
105,48,8.5,3
108,48,19.5,5
92,44,9.5,5
98,44,5.5,4
87,38,17.5,4
78,34,18.5,5
82,38,18.0,5
104,46,16.5,5
97,44,8.0,4
70,32,5.0,5
100,44,9.5,4
74,33,11.5,5
95,42,14.0,4
106,48,25.0,5
84,37,14.0,4
89,42,14.0,5
106,47,8.0,4
109,51,17,4
98,44,10.5,5
84,38,12.0,5
79,36,5.5,4
92,43,15.0,5
87,36,17.5,3
74,32,18.0,5
100,47,14.5,5
86,38,14.5,5
101,46,16.5,4
52,24,22.0,5
60,29,7.0,5
66,28,12.5,5
74,32,21.0,5
101,47,15.5,5
91,40,12.5,4
101,45,16.0,4
101,46,9.5,5
96,44,10.0,5
91,40,16.5,5
112,52,8.5,4
90,40,18.0,5
83,36,19.5,5
96,43,14.0,5
86,40,16.0,4
100,46,15.0,5
82,36,10.5,5
86,39,18.0,5
102,46,6.0,5
82,38,21.0,5
100,46,9.5,3
94,40,10.0,5
108,50,27.0,5
104,48,13.5,5
82,36,17.0,5
101,45,12.5,5
64,28,23.5,5
89,40,23.0,5
106,48,6.0,3
104,48,17.5,5
60,27,9.0,5
98,45,26.5,5
92,41,18.0,5
92,41,16.5,5
94,41,8.0,5
86,40,11.5,5
105,49,9.0,4
106,48,12.0,5
92,40,17.5,5
98,45,21.5,4
104,49,11.0,5
96,44,19.0,5
88,40,20.0,5
98,44,13.5,5
108,50,4.5,4
80,38,11.5,4
107,50,14.5,4
93,43,16.5,5
88,38,19.5,5
76,34,16.0,5
103,47,23.0,5
104,48,19.5,4
102,46,4.0,4
86,39,6.0,5
102,48,16.5,5
69,32,14.5,5
100,44,10.0,4
114,54,13.0,5
105,49,16.0,5
82,38,25.0,5
59,28,23.5,4
106,48,15.5,5
92,42,10.0,5
90,42,15.0,5
108,49,7.0,4
105,48,12.5,5
101,45,15.5,5
89,40,16.0,5
112,51,16.0,5
83,40,3.0,5
92,42,17.0,5
78,35,7.0,4
105,48,16.5,5
108,50,10.5,1
105,48,11.5,5
74,32,15.0,5
98,44,11.5,3
109,48,1.5,3
110,50,6.0,5
86,38,23.0,5
101,46,15.5,5
83,38,15.0,5
92,42,15.5,5
84,39,20.0,5
78,36,11.5,5
92,42,13.0,5
99,45,12.5,5
101,46,5.0,5
98,44,16.5,5
104,47,20.5,4
106,48,24.0,4
104,48,15.5,5
96,44,11.5,5
106,48,16.5,5
98,45,26.0,5
101,46,22.5,5
106,48,12.5,5
94,42,9.5,5
80,34,20.0,5
100,47,23.0,5
84,37,16.5,5
70,32,23.5,5
107,50,15.0,5
104,46,8.5,5
92,43,9.0,5
77,32,30.0,5
102,46,9.0,5
106,48,13.0,4
80,36,7.0,5
79,37,14.0,4
100,46,21.5,5
99,42,23.0,5
98,45,16.0,5
94,44,18.0,5
84,38,11.5,5
100,46,6.5,3
90,40,2.0,4
86,40,14.5,5
60,26,24.0,5
81,37,16.0,5
87,38,16.0,5
92,43,26.0,5
95,44,24.0,4
98,44,4.0,5
102,48,17.0,1
106,49,16.0,5
88,41,15.5,2
94,44,8.5,5
94,42,10.5,4
92,42,10.5,5
107,49,16.5,5
81,38,16.0,5
106,48,23.0,5
105,49,24.5,5
108,48,7.0,5
102,46,16.5,5
84,37,18.5,5
64,28,26.5,5
82,38,15.0,3
88,38,16.0,5
56,27,15.5,5
92,42,19.0,5
90,40,7.0,5
74,32,7.0,5
99,44,17.5,4
86,39,7.0,5
73,32,13.0,5
91,42,9.5,5
104,48,18.5,4
100,46,9.0,4
98,42,8.5,4
84,36,22.5,5
82,38,6.5,4
90,40,15.5,5
84,38,11.5,5
68,30,9.5,3
82,38,7.5,1
112,50,13.0,4
78,34,7.5,4
97,44,14.5,4
100,48,10.0,5
80,34,19.5,5
81,37,6.0,5
91,40,14,4
66,30,21.0,5
61,27,15.5,5
100,46,10.5,1
98,44,18.5,5
86,38,19.0,5
90,39,8.0,4
58,27,12.0,5
101,46,7.5,4
92,40,9.0,5
86,38,17.0,5
80,36,17.0,5
82,36,27.0,5
110,52,7.5,5
86,40,4.5,5
86,36,17.0,5
99,45,7.5,4
81,36,20.5,4
86,38,11.0,5
104,48,5.0,5
80,38,12.5,5
94,44,16.5,5
95,44,17.0,4
99,46,16.0,5
104,48,9.0,3
54,26,5.0,5
83,38,15.5,5
100,44,12.0,5
106,48,12.5,5
100,47,13.0,5
83,36,16.0,5
102,47,13.5,5
104,48,12.5,5
94,42,13.0,4
82,38,18.5,5
86,38,17.5,5
92,42,17.5,5
102,46,11.0,4
70,32,18.0,5
106,50,18.5,5
107,50,17.5,5
104,48,12.0,4
96,42,10.0,5
95,42,7.5,5
74,32,20.0,5
112,52,17.5,4
70,30,20.0,5
94,42,16.0,5
78,36,4.5,5
100,44,8.0,5
73,32,6.5,4
88,42,11.5,5
72,33,11.5,4
102,47,8.5,5
98,46,13.5,5
72,31,17.5,5
88,38,18.5,3
80,34,11.5,5
106,48,12.0,5
90,40,21.5,5
92,40,22.0,5
108,50,11.5,4
94,42,12.0,5
100,46,21.5,5
110,51,11.0,5
104,46,19.5,4
70,31,10.0,5
81,39,5.0,5
100,47,10.5,5
55,25,26.5,4
84,38,20.0,4
108,50,13.5,4
76,34,14.0,5
104,48,7.0,3
92,43,4.5,5
93,40,21.5,5
76,32,6.5,5
108,48,20.0,1
100,47,4,5
108,49,23.5,4
108,50,2.5,1
94,42,8.5,5
82,39,13.5,5
76,34,11.5,5
91,40,19.0,5
102,48,15.5,5
87,39,27.0,5
96,42,12.5,5
85,38,8.0,5
102,46,10.5,5
88,38,14.5,5
88,37,15.5,5
90,41,17.5,5
105,48,4.0,3
94,42,24.5,5
97,44,16.0,5
100,44,18.5,5
80,37,7.0,5
107,49,2.5,4
92,40,13.5,5
109,50,19.5,5
100,44,9.0,5
96,44,6.0,4
106,48,11.0,4
100,45,14.5,5
96,44,16.5,5
95,42,19.0,5
80,36,1.0,4
75,34,11.5,5
102,47,17.5,5
104,47,5.0,4
106,49,13.5,5
66,28,12.5,5
58,26,10.5,5
86,37,19.5,5
92,40,12.0,5
94,40,21.5,5
102,46,3.5,5
110,50,12.5,5
110,50,17.0,5
82,38,5.5,5
100,46,19.0,5
78,35,19.5,5
78,34,22.0,5
92,42,16.0,5
100,45,12.5,5
92,40,16.5,5
96,43,10.5,5
100,46,19.0,5
88,38,17.5,3
102,45,10.0,3
100,48,12.0,4
82,36,18.5,5
96,44,11.5,5
104,47,13.5,5
104,46,8.5,5
71,32,17.0,5
108,50,7.5,3
82,36,11.0,5
87,39,14.0,5
104,48,10.5,3
98,44,9.0,5
92,40,7.5,5
85,38,9.5,5
112,50,4.5,5
80,36,8.5,5
105,46,1,5
88,40,15.5,4
103,46,12.0,5
110,52,8.5,3
82,36,11.5,5
82,38,4.0,5
97,46,16.5,5
95,42,3.5,1
84,40,17.0,5
101,47,22.5,5
103,48,22.0,5
110,50,8.0,4
102,48,5.5,5
70,31,18.0,5
102,47,9.5,5
96,44,22.5,5
79,35,5.0,5
87,39,17.0,5
104,49,19.0,5
78,35,7.5,5
101,47,23.0,5
112,52,14.0,5
86,38,12.5,5
102,44,19.5,5
106,48,15.0,4
94,43,11.0,5
89,41,21.5,5
100,46,18.5,5
101,45,16.0,4
105,46,17.0,1
88,40,23.5,5
100,44,20.5,5
91,40,15.0,5
76,36,12.5,5
81,35,16.0,5
110,50,4.5,4
102,48,17.0,5
76,34,13.5,5
78,34,19.5,4
86,40,10.5,1
90,41,20.0,5
104,49,13.5,5
98,46,25.0,5
95,43,5.0,5
67,30,15.5,5
81,34,21.0,5
100,46,12.0,5
94,42,18.0,5
94,41,10.5,5
61,28,20.0,5
76,34,23.5,2
96,44,11.5,2
98,44,17.5,5
88,39,17.5,5
120,56,3.5,5
94,43,26.5,5
100,46,11.0,5
101,46,26.0,5
90,40,14.0,5
96,44,22.5,5
85,38,17.0,5
99,46,11.0,4
98,45,17.0,5
100,44,12.0,5
88,41,16.0,5
96,43,12.0,5
94,42,16.5,5
102,48,2.5,5
97,43,16.0,5
103,47,4.0,5
104,48,12.5,5
96,43,7.0,4
98,45,7.5,5
99,45,7.5,4
94,41,8.5,4
98,44,10.5,5
84,35,15.0,5
88,40,10.0,5
104,49,7.0,5
78,35,12.0,4
91,40,19.0,5
110,52,9.5,5
60,28,12.5,5
98,45,5.5,4
86,40,5.5,4
76,34,13.0,5
101,45,4.5,5
86,39,16.0,5
107,50,14.0,5
92,40,22.0,5
82,38,14.0,5
98,46,9.0,5
114,52,9.5,5
101,46,14.5,5
102,46,10.5,5
98,44,17.0,4
98,44,18.0,4
98,44,13.5,5
90,40,14.5,5
69,30,24.0,5
102,48,10.5,5
88,42,9.0,4
94,42,6.5,5
92,42,5.0,4
74,34,17.0,5
100,46,17.5,5
89,39,10.5,5
106,48,12.5,5
112,52,8.0,4
96,44,7.0,5
104,48,5.5,5
89,40,5.5,5
94,42,15.0,5
104,48,4.5,5
98,44,13.0,5
105,49,22.0,5
92,42,25.0,5
86,38,21.0,5
76,35,7.0,5
108,47,8.0,5
99,45,10.0,5
98,44,12.5,5
53,24,28.0,5
104,48,4.0,5
112,52,3.5,5
99,44,24.5,5
104,47,5.5,5
99,45,14.0,5
110,51,9.5,4
103,46,14.5,5
102,48,7.5,5
60,26,29.0,5
100,46,14.0,5
96,43,24.0,4
76,35,15.5,5
100,44,5.0,5
92,42,5.0,5
93,39,10.0,5
108,50,17.0,5
97,44,9.0,3
72,32,18.0,5
58,25,19.5,5
104,48,15.5,4
112,52,5.0,5
106,50,8.5,4
84,40,7.5,5
100,44,9.0,5
93,39,10.0,5
70,32,19.0,5
102,46,3.5,5
94,44,10.5,5
92,41,15.0,4
92,43,17.0,5
86,37,17.0,5
103,48,22.5,5
100,44,6.0,4
92,40,4.0,5
64,27,17.0,5
109,51,10.5,3
83,40,13.0,5
103,46,5.0,4
87,39,20.5,5
57,26,19.5,5
86,39,20.0,5
86,38,23.5,5
98,44,16.5,5
75,34,16.5,5
112,51,9.0,4
95,44,28.5,5
88,42,5.5,5
90,40,4.0,5
98,44,10.0,4
85,40,21.5,5
94,42,11.0,5
76,34,22.0,5
78,36,6.0,5
99,46,9.5,5
100,45,21.0,5
68,30,23.5,5
74,34,15.0,5
100,46,11.0,4
94,42,8.5,5
82,38,5.5,5
102,47,19.5,4
92,40,22.0,5
78,34,7.0,3
104,48,3.0,5
72,33,23.0,5
92,41,15.0,5
78,34,17.5,4
86,38,14.5,4
63,30,11.0,5
102,46,10.5,5
102,48,14.0,5
92,40,18.0,5
74,33,3.5,4
92,41,15.0,5
78,35,2.5,5
88,41,28.0,5
96,44,21.0,5
106,49,8.5,3
101,44,13.0,5
68,30,17.5,5
87,39,20.0,5
110,50,14.5,5
110,50,11.5,4
108,48,6.5,5
82,37,6.0,4
110,50,5.0,4
91,41,7.5,4
98,44,19.0,5
94,42,11.0,5
108,49,1.5,5
92,41,16.0,5
87,39,18.5,5
102,46,8.5,5
77,34,19.0,5
88,40,8.0,3
96,42,11.5,5
88,39,5.0,3
106,48,6.5,5
105,48,14.5,5
78,36,7.5,4
92,40,15.5,5
108,50,8.0,5
106,48,7.0,1
94,42,12.5,5
107,48,13.5,4
76,34,19.0,5
102,46,9.5,4
78,36,14.0,5
76,32,25.5,5
87,40,11.5,5
102,46,6.5,5
116,53,13.0,4
93,40,16.5,4
88,38,10.0,5
84,38,16.0,5
97,44,17.0,5
108,47,11.0,5
94,44,6.0,5
104,48,12.5,5
86,40,18.5,3
102,46,9.5,5
100,46,9.0,5
107,49,5.5,4
88,39,15.0,5
100,45,12.5,5
94,42,6.5,5
84,36,18.0,5
74,32,7.5,5
103,46,14.5,5
91,38,14.0,5
101,46,21.0,5
92,44,3.5,5
86,40,17.5,3
91,41,2.5,5
70,32,24.5,5
96,42,9.5,5
70,32,11.0,5
95,43,7.0,5
110,48,12.5,3
100,46,5,4
94,41,5.5,4
86,39,11.5,5
74,30,24.5,5
97,44,10.5,4
76,34,17.5,5
93,40,22.0,5
82,36,11.0,5
72,31,3.0,5
100,44,18.0,4
96,44,17.0,5
108,50,18.5,5
93,42,7.0,4
90,38,19.0,5
90,41,10.5,5
83,36,19.5,5
95,42,14.0,5
80,36,20.0,4
96,43,23.5,5
98,43,11.0,4
94,42,11.5,5
88,40,15.0,5
104,48,12.0,5
78,35,23.5,5
80,35,17.5,5
108,50,12.5,5
102,47,11.5,5
81,38,18.5,5
108,50,9.0,5
79,36,7.0,5
100,47,13.5,4
108,50,12.5,4
88,40,17.5,5
83,38,16.5,5
96,42,13.5,5
87,40,1.5,4
92,40,10.5,4
93,41,15.5,3
106,48,5.0,5
78,34,20.5,5
80,35,27.5,5
106,49,5.0,5
76,34,20.0,5
97,45,20.5,3
46,21,19.0,5
94,42,7.5,5
110,50,7.5,5
104,46,6.0,3
94,42,11.0,4
100,46,2.0,5
82,36,13.0,4
102,47,9.0,5
69,30,28.5,5
98,45,6.5,5
102,46,10.5,3
108,48,10.0,3
94,41,8.0,4
88,40,15.5,5
82,34,22.5,3
100,46,10.5,4
62,28,25.0,4
110,51,11.0,5
102,48,12.5,4
86,38,23.0,5
104,47,12.5,5
110,50,5.5,4
66,29,11.0,5
88,40,18.0,5
104,48,3.5,5
98,47,13.5,5
84,38,16.0,5
112,50,4.5,4
102,46,11.0,5
106,48,5.5,5
78,36,14.0,5
99,45,23.0,5
68,30,17.5,5
93,42,8.0,4
90,42,18.5,5
83,37,13.0,4
75,33,16.5,5
99,46,6.5,5
76,33,20.5,4
104,48,19.5,5
97,44,2.0,3
88,40,16.5,5
90,42,7.0,5
96,44,3.5,5
104,48,5.0,3
93,43,17.0,5
111,52,28,3
100,46,17.0,5
82,39,15.0,4
109,50,2.5,5
99,45,10.0,5
80,35,15.5,5
106,48,17.5,4
88,38,15.5,5
104,47,15.0,5
88,38,23.5,5
86,38,11.5,5
75,34,10.5,5
90,42,11.0,5
92,42,7.0,5
100,44,16.0,4
94,43,21.0,5
82,38,21.0,4
94,42,6.0,5
86,38,27.0,5
86,35,15.0,5
88,38,18.5,4
70,32,13.5,5
73,34,22.0,5
78,37,5.0,4
106,48,13.5,5
86,40,2.0,5
68,30,28.0,5
106,48,12.5,4
65,30,29.0,5
88,40,8.5,5
107,48,9.5,5
101,47,15.5,5
97,44,12.0,5
64,27,24.0,5
53,24,22.0,5
123,58,5.0,5
89,38,16.5,5
90,41,20.0,3
85,36,23.0,5
100,45,11.5,5
75,35,22.0,5
90,40,12.5,5
76,32,24.5,5
97,43,16.5,5
92,41,9.0,5
90,39,18.0,5
99,46,14.5,5
106,48,12.0,5
101,45,12.5,5
99,46,16.5,5
84,39,12.5,3
102,48,11.5,4
100,46,16.0,5
82,37,8.0,5
106,49,11.5,5
102,47,16.0,5
56,25,11,4
84,40,7.0,5
96,43,18.5,5
109,50,10.0,4
86,40,7.0,5
82,38,24.5,5
100,44,5.5,5
50,23,18.5,5
86,39,9.0,5
113,52,14.0,4
92,40,8.0,5
74,34,4.0,5
84,36,11.5,5
100,44,7.5,4
66,28,10.0,4
84,40,4.0,4
101,46,15.0,1
80,33,22.5,5
79,38,4.5,4
102,46,21.0,5
98,46,21.0,3
103,48,13.5,5
92,41,18.5,5
92,42,12.5,5
97,44,16.0,5
80,34,12.5,5
90,42,13.5,5
86,37,24.5,5
104,47,13.0,5
100,46,17.0,5
90,41,20.5,5
106,50,14.0,5
100,44,13.5,4
86,39,20.5,5
88,41,15.5,5
95,42,6.5,5
72,36,2,5
93,40,16.0,5
96,44,3.0,5
97,42,12.0,4
92,42,12.5,5
105,48,11.0,5
104,46,2.0,5
72,30,17.5,3
96,42,12.5,5
60,26,21.5,5
92,40,16.0,4
102,48,10.5,5
100,46,12.5,3
106,48,2.0,5
93,44,6.0,5
96,42,14.0,5
89,41,22.5,5
66,27,22.5,3
106,47,6.5,5
92,42,12.5,5
109,50,7.5,5
84,38,22.5,5
76,36,12.5,5
88,38,5.5,5
77,36,16.0,5
67,29,12.5,5
100,45,4.0,5
100,45,11.0,5
111,52,15.0,5
86,37,15.0,5
94,42,26.0,5
60,27,21.5,4
78,36,9.0,5
98,44,17.5,5
66,30,15.0,5
102,48,13.0,5
97,44,12.5,4
75,33,19.0,5
100,46,10.0,5
109,51,10.0,3
78,36,15.5,4
70,30,21.5,5
102,46,7.5,5
92,42,18.0,4
102,48,26.0,5
98,46,13.0,5
70,32,19.5,5
112,52,2.5,3
104,48,15.5,5
98,46,26.5,5
99,44,7.5,5
96,44,20.0,5
97,42,20.5,5
74,32,8.5,4
106,48,12.0,1
78,34,5.0,5
105,47,15.0,3
98,43,9.5,5
88,39,25.0,5
111,51,23.0,5
84,38,16.5,5
95,44,8.0,4
101,47,15.5,5
110,50,5.5,4
94,43,10.0,5
111,51,7.5,4
95,44,13.5,5
80,38,5.5,5
82,37,9.0,5
98,42,5.5,5
100,46,15.0,5
96,42,14.0,5
100,46,14.5,5
54,25,11.5,5
100,45,10.0,4
95,40,11.0,5
93,43,17.0,5
89,41,15.0,4
98,44,9.5,5
89,38,17.5,4
70,32,10.0,5
85,38,6.0,5
74,34,14.5,5
93,40,7.0,5
99,44,14.0,5
56,24,29.5,5
82,38,18.5,5
82,36,12.5,4
90,42,16.0,4
102,46,4.5,3
84,38,20.0,5
96,44,7.0,5
108,50,9.5,5
75,32,10.5,5
84,37,15.5,5
94,43,11.5,5
98,46,21.0,5
105,48,11.5,4
92,39,8.0,5
104,48,9.0,3
102,45,13.0,4
106,50,11.0,5
94,42,12.5,5
78,36,16.0,4
96,44,13.0,5
82,36,8.5,3
101,46,7,2
78,36,6.0,5
92,41,26,4
111,52,9.5,5
77,36,4,3
71,32,18.0,5
81,35,20.5,5
88,40,16.0,5
72,32,22.5,4
92,42,10.0,5
96,45,19.0,5
95,42,14.0,5
108,50,12.0,5
101,45,2.5,3
94,44,15.0,5
103,49,13.5,5
75,34,6.0,5
74,32,9.5,5
80,35,4.5,5
81,35,21.5,5
94,42,18.0,5
62,26,18.5,5
101,46,21.5,5
104,48,7.5,4
91,41,23.5,4
100,45,2.5,5
76,35,25.5,5
106,49,17.5,4
76,34,7.0,4
101,47,23.0,5
93,41,18.5,5
79,35,5.0,5
90,41,25.0,5
108,50,9.5,5
92,42,23.0,5
79,36,20.0,4
96,43,15.0,5
97,42,20.5,4
106,48,20.5,5
110,52,14.5,1
90,41,5.5,1
100,47,16.0,5
80,36,10.0,5
96,41,13,4
110,50,17.0,5
93,42,22.5,5
116,52,8.5,4
74,33,16.5,5
98,42,13.0,5
95,43,13.5,5
80,36,15.0,5
81,37,16.5,4
102,46,10.0,3
104,49,16.5,5
102,44,20.5,5
74,34,13.5,5
67,30,9.0,5
80,36,14.0,5
104,48,6.5,4
83,38,13.0,4
105,50,12.5,5
104,46,6.5,4
102,48,7.0,5
65,28,16.5,5
94,44,13.5,4
102,48,14.5,4
61,27,11.5,4
102,47,9.0,3
100,45,22.5,4
98,46,26.0,5
100,48,12.0,4
104,48,14.5,5
80,35,18.5,5
94,42,20.5,3
102,46,8.5,5
106,48,14.0,5
112,52,10.0,4
92,40,24.0,4
95,44,7.5,4
70,33,19.5,5
96,44,9.0,5
102,46,6.5,5
90,40,25.5,5
96,42,12.5,5
98,44,12.5,5
84,38,12.5,5
93,40,8.5,5
102,46,9.0,5
94,42,9.0,4
80,36,14.5,5
88,40,15.5,5
74,34,18.5,5
113,53,2,4
90,40,11.0,5
86,40,21.5,5
102,46,8.0,5
92,40,4.0,5
90,40,10.5,5
98,42,6.0,5
92,42,9.5,4
80,36,5.5,5
72,32,13.5,5
90,40,24.5,5
80,38,14.0,5
84,36,21.0,5
108,50,12.5,5
86,38,24.0,4
97,43,16.0,5
104,47,10.0,4
100,42,24.0,5
97,45,6,4
71,32,13.0,4
60,28,25.0,5
83,36,13.0,5
106,48,15.5,5
98,44,22.5,1
115,52,10.5,4
98,44,7.5,4
104,47,14.5,5
96,44,10.0,5
110,50,12.5,4
102,46,6.0,4
86,37,15.0,5
76,34,10.0,4
90,43,7.5,5
110,50,12.5,4
84,38,18.5,5
74,34,13.5,5
84,38,5.0,5
95,43,7.5,5
97,44,5.0,5
82,36,4.5,3
84,37,10.5,5
106,46,8.5,5
86,40,16.0,5
106,49,17.5,4
72,32,7.5,5
82,38,16.0,5
86,39,14.5,3
100,46,9.0,5
94,44,25.0,5
98,44,17.0,5
78,36,6.5,5
102,47,15.0,4
110,50,14.5,4
82,36,23.0,5
80,37,15.0,5
106,48,8.5,4
102,46,6.0,3
76,34,10.0,5
98,44,17.5,5
105,46,9.0,5
78,36,10.5,5
102,46,4.5,5
75,33,13.0,4
91,40,13.5,4
102,44,18.5,5
60,26,8.5,5
87,39,22.0,4
86,39,6.0,5
110,50,12.5,5
104,48,8.0,5
101,46,7.5,4
71,31,6.5,5
90,40,5.5,3
78,35,18.5,4
68,32,7.0,5
100,46,17.5,5
98,46,18.0,5
103,48,6.0,5
86,36,15.5,3
104,48,23.5,5
103,48,9.5,5
74,32,19,4
92,42,15.0,5
108,49,7.0,5
92,40,18.0,4
74,35,17.0,5
92,40,13.5,5
82,36,9.5,1
94,41,8.0,5
71,34,11.5,5
80,38,6.5,5
68,28,21.5,5
101,44,11.5,5
109,50,7.5,5
69,32,24.5,2
89,38,9.5,5
102,47,18.5,5
106,48,3.0,4
99,46,11.5,2
103,48,8.0,5
92,42,12.0,3
73,34,16.0,5
104,47,7.0,4
89,41,12.5,3
76,36,2.5,5
101,44,11.5,5
84,38,14.0,5
79,35,14.0,4
59,28,19.5,5
112,50,15.0,4
86,39,11.5,5
90,40,11.0,5
100,44,9.0,4
94,42,14.5,5
97,46,6.0,5
100,44,6.0,5
82,34,17.0,3
106,48,10.5,1
97,42,13.0,5
74,34,24.0,4
106,48,15.5,5
99,45,12.0,5
103,48,11.0,5
72,33,23.0,5
104,46,12.0,4
94,42,25.5,5
102,46,10.0,5
96,44,12.5,5
88,40,7.5,4
102,46,8.0,1
87,40,12.5,3
88,40,11.5,5
103,48,13.5,5
95,44,25.0,5
82,40,7.5,3
67,30,18.0,5
110,51,20.0,4
105,49,25.0,5
94,41,7.5,5
76,35,8.5,5
88,40,9.5,5
86,36,15.0,5
100,44,11.0,5
90,40,17.5,4
108,50,4.5,1
94,38,17.5,5
95,42,11.0,4
94,43,18.0,5
104,48,9.5,4
76,34,28.5,5
99,44,13.0,4
110,50,9.0,5
101,43,16.5,3
104,48,9.0,5
111,52,18.5,4
76,36,6.5,5
98,46,16.5,4
81,36,16.0,4
99,45,5.0,4
79,36,6.5,5
100,48,22.0,5
90,42,17.0,5
100,44,13.5,5
104,48,4.5,5
94,44,16.5,5
92,41,14.0,5
98,44,24.5,5
86,38,6.0,5
83,36,18.5,5
58,27,24.0,4
76,36,16.0,5
88,40,13.5,5
89,41,21.5,5
100,46,21.0,5
97,44,8.5,5
98,45,8.0,5
80,36,28.5,5
100,46,13.5,5
70,30,20.0,5
94,42,11.5,5
73,32,16.5,5
100,46,8.5,3
74,34,21.0,5
106,47,9.5,4
70,31,19.0,5
108,50,6.5,5
84,38,19.5,5
116,54,8.0,4
90,40,28.5,5
106,50,5.5,4
100,46,6.5,5
106,50,2.0,5
108,48,1.0,5
78,36,6.0,5
81,37,20.5,5
104,48,10.0,4
99,46,12.0,5
64,29,17.0,5
102,45,6.5,5
96,44,12.5,5
106,48,12.5,4
70,32,17.5,5
89,40,17.0,5
70,32,17.5,5
65,28,22.5,5
92,42,21.5,5
66,30,15.5,5
104,49,2.0,4
81,37,11.5,5
100,46,12.5,5
102,47,23.5,5
77,32,30,5
94,42,8.5,5
102,46,11.5,5
75,32,14.5,5
82,36,11.0,5
102,46,12.0,5
96,41,7.5,5
100,47,15.0,2
82,38,14.0,5
96,42,11.5,4
110,52,11.5,5
99,44,13.5,5
100,46,14.0,5
75,33,19.5,5
98,45,15.5,5
78,34,19.0,4
83,36,18.5,5
80,38,12.0,4
106,48,3.0,5
109,51,21.0,5
86,38,11.5,5
116,54,2.5,5
76,36,8.0,5
92,40,14.5,5
105,48,7.5,5
88,40,10.0,5
99,44,15.0,5
87,42,12.5,5
96,44,10.0,5
97,44,10.0,5
108,48,1.5,5
92,44,12.5,5
74,35,9.5,5
93,44,8.5,3
119,56,9.0,1
104,48,27.5,5
104,46,21.0,5
44,19,24.0,5
89,40,21.0,5
99,45,14.5,5
106,48,9.0,5
96,44,10.0,5
104,48,6.0,5
97,45,23.5,4
111,51,5.5,5
82,36,10.0,3
105,47,22.0,4
120,56,4.0,5
99,44,3.5,5
96,42,4.0,5
96,42,9.5,2
98,46,3.5,5
72,32,19.5,5
96,44,13.5,5
86,40,11.0,5
73,34,16.5,5
85,38,18.0,4
71,33,12.5,5
83,38,10.5,4
110,49,12.0,3
80,35,14.5,5
84,37,16.0,5
102,46,7.5,5
84,37,14.5,5
104,47,5.5,5
92,41,3.5,3
104,50,13.0,5
77,36,8.0,4
95,44,10.0,5
98,46,15.5,4
102,47,15.0,4
99,46,14.0,5
98,44,24.0,5
106,49,14.5,5
88,40,14.0,5
116,52,11.5,4
96,42,15.5,5
112,52,9.0,5
84,38,12.0,4
104,48,9.0,5
75,33,17.0,5
102,47,10.0,4
94,44,14.0,5
68,30,5.5,5
102,46,4.5,5
85,39,16.5,4
80,37,11.5,5
102,46,9.0,2
104,48,3.0,1
99,45,18.5,5
98,44,9.0,5
84,36,6.5,5
108,50,9.0,3
93,42,11.5,5
104,48,8.5,4
92,42,22.5,5
100,44,6.0,5
90,42,15.0,5
65,29,12.5,5
70,32,19.5,4
82,38,4.0,5
94,40,10.0,5
105,48,14.5,5
71,32,20.5,5
114,52,1.5,3
78,36,18.5,5
76,36,16.0,5
93,42,21.0,5
102,45,21.5,5
100,44,18.0,4
94,44,14.0,5
89,41,11.0,5
104,46,20.5,3
108,50,15.0,5
90,40,9.0,4
80,37,15.5,4
86,36,24.0,5
102,48,11.0,5
97,44,10.0,5
93,44,21.0,2
110,50,8.0,5
81,35,22.0,5
74,32,6.0,4
98,44,10.0,5
83,38,15.0,5
90,41,24.5,5
98,44,7.5,5
110,50,4.0,5
97,42,7.0,3
96,41,6.0,3
94,43,21.0,5
73,32,12.5,5
94,42,18.0,5
88,41,16.0,5
88,42,7.5,5
94,43,7.5,5
102,46,10.0,5
74,32,13.5,5
112,50,13.0,4
108,50,10.5,4
86,39,11.5,5
98,46,12.0,4
76,34,17.5,5
87,40,24.0,5
90,40,14.5,4
102,48,6.5,4
108,50,14.0,5
81,38,16.0,4
80,36,10.0,5
96,43,14.0,4
108,50,6.0,5
67,30,19.5,5
96,44,12.5,5
79,36,18.5,5
85,39,11.5,5
88,40,14.0,4
94,42,13.5,4
82,36,26.5,5
102,46,11.0,4
84,38,14.5,4
106,50,8.0,5
78,35,10.0,4
96,45,16.0,5
110,50,4.5,5
100,44,6.5,4
96,42,15.5,5
50,22,22.5,5
92,44,14.5,5
92,40,7.5,5
88,39,26.5,5
78,34,19.5,5
104,48,8.5,4
104,48,18.0,5
79,35,3.5,4
90,43,2.0,4
98,44,14.0,5
73,32,17.0,5
66,29,11.0,5
86,38,22.0,5
86,40,13.5,5
92,41,16.0,5
84,38,3.0,5
58,26,7.5,5
98,46,21.0,1
104,46,7.0,5
102,48,12.5,5
96,45,22.0,5
77,36,11.5,5
92,42,23.5,5
88,40,25.0,4
94,42,11.5,5
107,48,13.5,4
